,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tokens,predictions
0,0,1242879759601799168,1242745110661435393,1585160600000,2020-03-25 23:53:20,530,,the jio company launched their new plans called work from home plans ,[],[],853512722113323008,853512722113323008,BhanuPr72801466,Bhanu Pratap Singh dhakrey (घर पर रहे),3,23,https://twitter.com/BhanuPr72801466/status/1242879759601799168,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '853512722113323008', 'username': 'BhanuPr72801466'}, {'user_id': '3073369844', 'username': 'veerbahadur086'}, {'user_id': '929129743', 'username': 'reliancejio'}]",,,,,"['jio', 'company', 'launched', 'new', 'plans', 'called', 'work', 'home', 'plans']",0
1,1,1242879607176478720,1242879607176478720,1585160564000,2020-03-25 23:52:44,530,,reliance jio offers free internet airtel voda idea promise normal internet for work from home needs … ,[],[],869018357432950785,869018357432950785,Dharmendra41049,Dharmendra Kumar,3,23,https://twitter.com/Dharmendra41049/status/1242879607176478720,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '869018357432950785', 'username': 'Dharmendra41049'}, {'user_id': '929129743', 'username': 'reliancejio'}, {'user_id': '4925291660', 'username': 'yogiputinnath'}, {'user_id': '845345249958514689', 'username': 'Real_Jyoti1'}, {'user_id': '253464983', 'username': 'sanishkumarhim'}]",,,,,"['reliance', 'jio', 'offers', 'free', 'internet', 'airtel', 'voda', 'idea', 'promise', 'normal', 'internet', 'work', 'home', 'needs', '…']",1
2,2,1242879202866515969,1242450477779800065,1585160468000,2020-03-25 23:51:08,530,,yes home only you can work from home you are ,[],[],804045415322554368,804045415322554368,kbjadeja1333,Kishorsinh jadeja,3,23,https://twitter.com/kbjadeja1333/status/1242879202866515969,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '804045415322554368', 'username': 'kbjadeja1333'}, {'user_id': '2447086974', 'username': 'PoonambenMaadam'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,,,,"['yes', 'home', 'work', 'home']",1
3,3,1242878275585802240,1242873807137726464,1585160247000,2020-03-25 23:47:27,530,,apart from the jokes you may you need anyone talk was away from home before lockdown know feels like hell you need comforting any way helpful glad❤️,[],[],714465124782768128,714465124782768128,mevedika02,Vedika Sharma,3,23,https://twitter.com/mevedika02/status/1242878275585802240,False,1,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '714465124782768128', 'username': 'mevedika02'}, {'user_id': '71977143', 'username': 'Shakteamaan'}]",,,,,"['apart', 'jokes', 'may', 'need', 'anyone', 'talk', 'away', 'home', 'lockdown', 'know', 'feels', 'like', 'hell', 'need', 'comforting', 'way', 'helpful', 'glad❤️']",0
4,4,1242876746459803658,1242717249590321157,1585159882000,2020-03-25 23:41:22,530,,work from home ,[],[],276394575,276394575,hiren_r,Hiren B. Rana,3,23,https://twitter.com/hiren_r/status/1242876746459803658,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '276394575', 'username': 'hiren_r'}, {'user_id': '473745411', 'username': 'SanaSecurities'}]",,,,,"['work', 'home']",0
5,5,1242876655770562560,1242873284372369410,1585159860000,2020-03-25 23:41:00,530,,this the time protect ourselves from covid this stage people should stay home this the best cure question about economy staving ,[],[],1237698695748923393,1237698695748923393,SaharieNadeem,Nadeem Saharie,3,23,https://twitter.com/SaharieNadeem/status/1242876655770562560,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1237698695748923393', 'username': 'SaharieNadeem'}, {'user_id': '307642463', 'username': 'yasmeen_9'}]",,,,,"['time', 'protect', 'covid', 'stage', 'people', 'stay', 'home', 'best', 'cure', 'question', 'economy', 'staving']",1
6,6,1242874426531516421,1242868816922791936,1585159329000,2020-03-25 23:32:09,530,,yes these are mine putting kapoor not kanika rana different corners home gives you fragrant calmness cheezein nahi mil rahi wohiii khatam rahi hai gai hai working from home tough work ,"['#lockdown21', '#ahmedabadlockdown']",[],257816770,257816770,jaladhi11,JAL,3,23,https://twitter.com/jaladhi11/status/1242874426531516421,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '257816770', 'username': 'jaladhi11'}, {'user_id': '84823082', 'username': 'kumarmanish9'}]",,,,,"['yes', 'mine', 'putting', 'kapoor', 'kanika', 'rana', 'different', 'corners', 'home', 'gives', 'fragrant', 'calmness', 'cheezein', 'nahi', 'mil', 'rahi', 'wohiii', 'khatam', 'rahi', 'hai', 'gai', 'hai', 'working', 'home', 'tough', 'work']",1
7,7,1242874107504422912,1242874105461788672,1585159253000,2020-03-25 23:30:53,530,"Shivalik nagar, haridwar",prevent them coming out home local nagar nigam workers distributed the essential things and collect the money from door door this way local daily worker will get income and can quarantine the people hope you will see this suggestion thanks – shivalik nagar haridwar,[],[],1242867651484975104,1242867651484975104,priyans05737463,priyanshu chakravorty,3,23,https://twitter.com/priyans05737463/status/1242874107504422912,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1242867651484975104', 'username': 'priyans05737463'}]",,,,,"['prevent', 'coming', 'home', 'local', 'nagar', 'nigam', 'workers', 'distributed', 'essential', 'things', 'collect', 'money', 'door', 'door', 'way', 'local', 'daily', 'worker', 'get', 'income', 'quarantine', 'people', 'hope', 'see', 'suggestion', 'thanks', '–', 'shivalik', 'nagar', 'haridwar']",1
8,8,1242873841363251207,1242862753813061632,1585159189000,2020-03-25 23:29:49,530,,put home quarantine stamp hands take aadhaar pan bank details later check their health every week stop spread from hyderabad state 60000 airtravellers still not tested and escaped proper checks ,['#coronavirusindia'],[],797761076595068928,797761076595068928,HydWatch,Indian Voices on Public problems,3,23,https://twitter.com/HydWatch/status/1242873841363251207,False,15,0,6,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '797761076595068928', 'username': 'HydWatch'}, {'user_id': '118787224', 'username': 'KTRTRS'}, {'user_id': '2558684335', 'username': 'TelanganaCMO'}, {'user_id': '2965511647', 'username': 'ysjagan'}, {'user_id': '1205760060242063361', 'username': 'dgpapofficial'}, {'user_id': '2687516120', 'username': 'AndhraPradeshCM'}]",,,,,"['put', 'home', 'quarantine', 'stamp', 'hands', 'take', 'aadhaar', 'pan', 'bank', 'details', 'later', 'check', 'health', 'every', 'week', 'stop', 'spread', 'hyderabad', 'state', '60000', 'airtravellers', 'still', 'tested', 'escaped', 'proper', 'checks']",0
9,9,1242873018122145795,1242873018122145795,1585158993000,2020-03-25 23:26:33,530,,just want ask there’ corresponding fine those companies that don’ comply work from home regulations thanks ,[],[],2410837254,2410837254,CharmineRica,Min Guevarra,3,23,https://twitter.com/CharmineRica/status/1242873018122145795,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR work from home OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2410837254', 'username': 'CharmineRica'}, {'user_id': '21078655', 'username': 'lovindubai'}, {'user_id': '20578408', 'username': 'gulf_news'}, {'user_id': '18860860', 'username': 'khaleejtimes'}]",,,,,"['want', 'ask', 'there’', 'corresponding', 'fine', 'companies', 'don’', 'comply', 'work', 'home', 'regulations', 'thanks']",0
