,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
0,0,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,"Business Standard: End of coronavirus pandemic is near, says Nobel laureate Michael Levitt.
 https://www.business-standard.com/article/current-affairs/end-of-coronavirus-pandemic-is-near-says-nobel-laureate-michael-levitt-120032400668_1.html …",[],[],8.69018E+17,8.69018E+17,Dharmendra41049,Dharmendra Kumar,3,23,https://twitter.com/Dharmendra41049/status/1242881400186892291,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '869018357432950785', 'username': 'Dharmendra41049'}]",,,,,busi   standard   end   coronaviru   pandem   near   say   nobel   laureat   michael   levitt   http   ww   busi   standard      articl   current   affair   end   coronaviru   pandem   near   say   nobel   laureat   michael   levitt   html  ,0
1,1,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral #inovation #inovativedesign #graphicart #digitalart #digitaldesign #logodesigner #corona #coronavirus…  https://www.instagram.com/p/B-Kq4LhHhPM/?igshid=2akp5zte3uwt …","['#therohitsharmapdt', '#graphicdesigncommunity', '#graphicdesign', '#graphicdesigncentral', '#inovation', '#inovativedesign', '#graphicart', '#digitalart', '#digitaldesign', '#logodesigner', '#corona', '#coronavirus']",[],9.69106E+17,9.69106E+17,therohitsharmap,Rohit Sharma,3,23,https://twitter.com/therohitsharmap/status/1242881390712143872,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '969105551270428672', 'username': 'therohitsharmap'}]",,,,,design   rohit   sharma   therohitsharmapdt   graphicdesignmun   graphicdesign   graphicdesigncentr   inov   inovativedesign   graphicart   digitalart   digitaldesign   logodesign   corona   coronaviru   http   ww   instagram      p   b   kqlhhpm   igshid   akpzteuwt  ,-1
2,2,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,@AUThackeray Sir thank you so much for All your Care But some of us are still not following order of the time . My neighbours are treating this lockdown as vacation . There relatives staying in nearby areas are frequent visitors and till late night they h,[],[],2226621902,2226621902,amazingrups,Rupali Gurav,3,23,https://twitter.com/amazingrups/status/1242881383518748672,FALSE,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2226621902', 'username': 'amazingrups'}, {'user_id': '1606048885', 'username': 'AUThackeray'}]",,,,,sir   thank   much   care   u   still   follow   order   time   neighbour   treat   lockdown   vacat   rel   stay   nearbi   area   frequent   visitor   till   late   night   gala   time  ,-1
3,3,1.24288E+18,1.24282E+18,1.58516E+12,25-03-2020 23:59,530,,"Indian Govt has not allowed cheap Elisa and rapid test n choosen expensive PCR. Private capped at 4500, not many can afford. 
Strategy, less testing, less cases, Govt looks good. Control thru lockdown. 
But without testing it will not end n may reoccur after lockdown.",[],[],39454122,39454122,lovekeshchandra,Lovekesh Chandra,3,23,https://twitter.com/lovekeshchandra/status/1242881339382042624,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '39454122', 'username': 'lovekeshchandra'}, {'user_id': '45261768', 'username': 'srivatsayb'}, {'user_id': '935835219612987393', 'username': '4PatientCare'}]",,,,,indian   govt   allow   cheap   elisa   rapid   test   n   choosen   expens   pcr   privat   cap   mani   afford   strategi   le   test   le   case   govt   look   good   control   thru   lockdown   without   test   end   n   may   reoccur   lockdown  ,-1
4,4,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,Coronavirus killing all the people but beyandh2 killing us with Vikram part please show some positive vibes difficult to see maya in dis conditions that too for 2 weeks #Beyhadh2,['#beyhadh2'],[],1310490444,1310490444,brindhu87,Babitha,3,23,https://twitter.com/brindhu87/status/1242881321774354432,FALSE,5,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1310490444', 'username': 'brindhu87'}]",,,,,coronaviru   kill   peopl   beyandh   kill   u   vikram   part   pleas   show   posit   vibe   difficult   see   maya   di   condit   week   beyhadh  ,-1
5,5,1.24288E+18,1.24285E+18,1.58516E+12,25-03-2020 23:59,530,,"#StrangerThanFiction
#TheEyesOfDarkness
Now British secret agents James Bond 007 enters in China with his girl friend n solves the death of doctor n gets #Antidose of #Corona n the lock out countries opens to normalcy killing the virus n
#JamesBond0 landed in #TajMahal with girlf pic.twitter.com/Bayyecb9Nc","['#strangerthanfiction', '#theeyesofdarkness', '#antidose', '#corona', '#jamesbond0', '#tajmahal']",[],7.51732E+17,7.51732E+17,Chakradhar2311,Chakradhar Mohanta,3,23,https://twitter.com/Chakradhar2311/status/1242881320214118400,FALSE,0,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '751732004131991552', 'username': 'Chakradhar2311'}]",,,,,strangerthanfict   theeyesofdark   british   secret   agent   jame   bond   enter   china   girl   friend   n   solv   death   doctor   n   get   antidos   corona   n   lock   countri   open   normalci   kill   viru   n   jamesbond   land   tajmah   girlf      twitter      bayyecbnc  ,-1
6,6,1.24324E+18,1.24324E+18,1.58525E+12,26-03-2020 23:59,530,,"@narendramodi 
Sir there are essential facilities (n95 mask corona kit ) provided by hospital administration to nursing staff on Corona opd duty &no risk cover given to contractual nursing staff",[],[],7.75754E+17,7.75754E+17,Dilipsharma87,Dilip Sharma,4,23,https://twitter.com/Dilipsharma87/status/1243243797724581888,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '775754487122190336', 'username': 'Dilipsharma87'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,sir   essenti   facil   n   mask   corona   kit   provid   hospit   administr   nurs   staff   corona   opd   duti   risk   cover   given   contractu   nurs   staff  ,1
7,7,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"me : alright time to sleep
my brain : Top 50 mistakes you've made

#MEMES #nightthoughts #Covid_19india #Quarantine","['#memes', '#nightthoughts', '#covid_19india', '#quarantine']",[],7.27432E+17,7.27432E+17,Sandeepraathore,Sandeep Singh Rathore,7,23,https://twitter.com/Sandeepraathore/status/1244330962764189696,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '727431639396147200', 'username': 'Sandeepraathore'}]",,,,,alright   time   sleep   brain   top   mistak   made   meme   nightthought   covid   india   quarantin  ,-1
8,8,1.24433E+18,1.2443E+18,1.58551E+12,29-03-2020 23:59,530,,Dear Mr president you're already failing with almost 140000 Corona cases in your country.,[],[],8.07214E+17,8.07214E+17,ghimire_lomas,@lomasg,7,23,https://twitter.com/ghimire_lomas/status/1244330944296710144,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '807213935933857792', 'username': 'ghimire_lomas'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,,dear   mr   presid   alreadi   fail   almost   corona   case   countri  ,-1
9,9,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"@PMOIndia @narendramodi @CMOMaharashtra the communication put out to prevent Covid 19 is wrong, you should not use handkerchief to cover mouth to sneeze or cough as continuous use allows virus to stay on hand and other surfaces the wrong info will lead to",[],[],102577526,102577526,sona158,X,7,23,https://twitter.com/sona158/status/1244330903880364032,FALSE,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '102577526', 'username': 'sona158'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '2597666894', 'username': 'CMOMaharashtra'}]",,,,,mun   put   prevent   covid   wrong   use   handkerchief   cover   mouth   sneez   cough   continu   use   allow   viru   stay   hand   surfac   wrong   info   lead   spread   pl  ,-1
10,10,1.24433E+18,1.24432E+18,1.58551E+12,29-03-2020 23:59,530,,some psychos r still selling Kerala model in the name of more tests are getting done so show more Corona positive cases r reported,[],[],9.2252E+17,9.2252E+17,sanjeev105407,Sanjeev,7,23,https://twitter.com/sanjeev105407/status/1244330877565321216,FALSE,4,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '922520136761851904', 'username': 'sanjeev105407'}, {'user_id': '1060713474', 'username': 'SmokingSkills_'}, {'user_id': '438525539', 'username': 'Being_Humor'}]",,,,,psycho   r   still   sell   kerala   model   name   test   get   done   show   corona   posit   case   r   report  ,1
11,11,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"Defy Corona By Defying Incapacity,, log on to this page for Corona related useful information.
 https://sites.google.com/view/defying-covid19/home?authuser=0 …",[],[],1354726560,1354726560,shuja5haider12,شجاع حیدر,7,23,https://twitter.com/shuja5haider12/status/1244330874734166018,FALSE,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1354726560', 'username': 'shuja5haider12'}]",,,,,defi   corona   defi   incapac   log   page   corona   relat   use   inform   http   site   googl      view   defi   covid   home   authus  ,-1
12,12,1.24433E+18,1.24407E+18,1.58551E+12,29-03-2020 23:59,530,,"For Delhi, the need is Article 356,because Lockdown means Lockdown.Delhi Govt. to Compel the employers to support the workers & stop sending them.
For Rahulji, we request him to take rest, Ajay Maken may be asked to take charge & cooperate with the govt. during this crisis period",[],[],79149089,79149089,soumitradg,Soumitra Dasgupta,7,23,https://twitter.com/soumitradg/status/1244330846712037377,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '79149089', 'username': 'soumitradg'}, {'user_id': '258963979', 'username': 'kapskom'}]",,,,,delhi   need   articl   lockdown   mean   lockdown   delhi   govt   pel   employ   support   worker   stop   send   rahulji   request   take   rest   ajay   maken   may   ask   take   charg   cooper   govt   crisi   period  ,1
13,13,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,All politicians  of India  must donate one lakh rupees to corona relief fund,[],[],1.21293E+18,1.21293E+18,TiwariAnupam3,Tiwari Anupam,7,23,https://twitter.com/TiwariAnupam3/status/1244330844585484288,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1212926050411278336', 'username': 'TiwariAnupam3'}]",,,,,politician   india   must   donat   one   lakh   rupe   corona   relief   fund  ,0
14,14,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"PM @narendramodi requested with folded hands to the entire nation to support #lockdown for their own health & safety.
Have you ever see any PM who is requesting the country and moreover saying “sorry” for difficulties that people are facing. 
Salute Sir,We will win #IndiaWithModi","['#lockdown', '#indiawithmodi']",[],114666369,114666369,AdityaTrivedi_,Aditya Trivedi,7,23,https://twitter.com/AdityaTrivedi_/status/1244330830928818176,FALSE,1823,24,374,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '114666369', 'username': 'AdityaTrivedi_'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,pm   request   fold   hand   entir   nation   support   lockdown   health   safeti   ever   see   pm   request   countri   moreov   say   sorri   difficulti   peopl   face   salut   sir   win   indiawithmodi  ,-1
15,15,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"""Logon ka toh kaam hai bolna"" What not our govt has done and is doing to save us from Corona,still there are some trying to question the department and trying to find the loopholes.",[],[],160812862,160812862,Ishneet_Kaur,Ishneet Kaur,7,23,https://twitter.com/Ishneet_Kaur/status/1244330768710733824,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '160812862', 'username': 'Ishneet_Kaur'}]",,,,,logon   ka   toh   kaam   hai   bolna   govt   done   save   u   corona   still   tri   question   depart   tri   find   loophol  ,-1
16,16,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:58,530,,Canada is not taking seriously .Plz apply the strategy of Mr Modi to combat this pandemic.Shutdown only step to combat corna spread.... canada. Otherwise you can see this in itly or USA Spain. These countries was not taking seriously..  https://twitter.com/JustinTrudeau/status/1244282267914166273 …,[],[],350328715,350328715,navinbahri,Rekha fashion,7,23,https://twitter.com/navinbahri/status/1244330724058001409,FALSE,0,0,0,https://twitter.com/JustinTrudeau/status/1244282267914166273,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '350328715', 'username': 'navinbahri'}]",,,,,canada   take   serious   plz   appli   strategi   mr   modi   bat   pandem   shutdown   step   bat   corna   spread   canada   otherwis   see   itli   usa   spain   countri   take   serious   http   twitter      justintrudeau   statu  ,-1
